id,name,description,unit_price,stock,sku,is_available,created_at,updated_at,category
46cea07b-b408-47e4-a6d1-1a4d951cc78d,iPhone 14 Pro (128GB),"Latest Apple smartphone with A16, 6.1' display",7499.0,150,EL-10001,True,2024-01-05 10:15:22,2024-01-05 10:15:22,electronics
97159163-5850-461a-8681-a173d42b878f,Samsung Galaxy S23 Ultra,Premium Android smartphone with S Pen,8299.0,125,EL-10002,True,2024-01-05 11:30:45,2024-01-05 11:30:45,electronics
aa238279-ad9e-42c1-b309-91b4b2666d37,iPad Air (2022),10.9-inch Liquid Retina display with M1 chip,4599.0,100,EL-10003,True,2024-01-06 09:15:22,2024-01-06 09:15:22,electronics
3c7d2216-35b1-435c-a74e-5465b42cab06,Nintendo Switch OLED,Portable gaming console with enhanced display,2399.0,75,EL-10004,False,2024-01-06 14:22:30,2024-01-06 14:22:30,electronics
08267bf1-4a73-4507-800e-c1cc41e084fa,Sony WH-1000XM5,Premium noise cancelling headphones,2788.0,85,EL-10005,True,2024-01-07 10:30:00,2024-01-07 10:30:00,electronics
d06a3262-9866-4500-b949-8b0bddab648f,Xiaomi Robot Vacuum Cleaner,Smart home vacuum with mapping function,2499.0,60,EL-10006,True,2024-01-07 13:45:22,2024-01-07 13:45:22,electronics
647c9d87-0696-44c5-b896-ecd25b1773cf,Fortress Power Strip,6-outlet power strip with USB ports,159.0,200,EL-10007,True,2024-01-08 09:20:15,2024-01-08 09:20:15,electronics
07de6843-e977-4300-8ceb-d459fe2e7bee,Philips Air Fryer,Healthy cooking with 80% less fat,899.0,70,EL-10008,True,2024-01-08 11:15:30,2024-01-08 11:15:30,electronics
a5e0d12c-273c-49db-abda-35c5f43f3310,Canon EOS R6,Full-frame mirrorless camera with 20MP sensor,16999.0,30,EL-10009,True,2024-01-09 14:20:00,2024-01-09 14:20:00,electronics
16ade33b-103f-4265-976f-20306e400917,DJI Mavic Air 2,Foldable drone with 4K camera,7299.0,40,EL-10010,True,2024-01-09 16:10:25,2024-01-09 16:10:25,electronics
477ed64d-9204-45a7-a542-22ccff0c97a8,Dyson V12 Detect Slim,Cordless vacuum with laser dust detection,4980.0,55,EL-10011,False,2024-01-10 10:30:15,2024-01-10 10:30:15,electronics
8b351327-6235-4df7-8ba6-5168350148c8,Apple Watch Series 8,Health monitoring smartwatch with ECG,3199.0,90,EL-10012,True,2024-01-10 13:25:40,2024-01-10 13:25:40,electronics
59b6760d-14ef-422d-8df9-7ce3f2e2650b,Google Pixel 7 Pro,Android smartphone with superior camera,6499.0,65,EL-10013,True,2024-01-11 09:45:10,2024-01-11 09:45:10,electronics
49f98e84-a082-41ed-a443-445ad6a53948,Sony PlayStation 5,Next-gen gaming console,3980.0,45,EL-10014,True,2024-01-11 11:20:30,2024-01-11 11:20:30,electronics
6f76c1dd-7b63-4723-8edd-618c23c3d446,Bose QuietComfort Earbuds,Wireless noise cancelling earbuds,2099.0,80,EL-10015,True,2024-01-12 15:10:20,2024-01-12 15:10:20,electronics
3e0beb23-1fdc-471f-bae4-34d598bcfc97,"LG OLED C2 55"" TV",4K smart TV with perfect black levels,11999.0,25,EL-10016,False,2024-01-12 16:40:15,2024-01-12 16:40:15,electronics
c64ba5a4-0f00-4b17-9290-b98f5d21dcb1,Dell XPS 15 Laptop,Premium Windows laptop with 12th gen Intel,15899.0,35,EL-10017,True,2024-01-13 10:25:30,2024-01-13 10:25:30,electronics
ae44b291-500a-4d1d-b018-5448158c1bff,Lenovo ThinkPad X1 Carbon,Business laptop with excellent keyboard,13999.0,40,EL-10018,True,2024-01-13 13:15:45,2024-01-13 13:15:45,electronics
46efb190-81f6-4275-82d2-678255ad3c65,Fitbit Charge 5,Advanced fitness tracker with ECG,1499.0,95,EL-10019,True,2024-01-14 09:30:20,2024-01-14 09:30:20,electronics
3e934ced-58ff-457b-886a-4428fd201f79,Logitech MX Master 3,Advanced wireless mouse for productivity,749.0,110,EL-10020,True,2024-01-14 11:45:35,2024-01-14 11:45:35,electronics
7b5d412c-31ee-4a6c-8e33-67128752029d,Nikon Z6 II,Full-frame mirrorless camera with 24MP,15999.0,20,EL-10021,True,2024-01-15 14:20:10,2024-01-15 14:20:10,electronics
3a147522-9118-4654-bcac-afc6f9044246,GoPro HERO11 Black,Action camera with 5.3K video,3699.0,60,EL-10022,True,2024-01-15 16:35:25,2024-01-15 16:35:25,electronics
11fc8a26-37d2-4337-ade5-fd7e7fbdf7a8,Microsoft Surface Pro 9,2-in-1 tablet PC with Windows 11,8999.0,50,EL-10023,True,2024-01-16 10:15:40,2024-01-16 10:15:40,electronics
0a9e996f-7ba8-43e7-bbf8-ff783b1cb265,Sonos Beam (Gen 2),Smart soundbar with Dolby Atmos,3699.0,45,EL-10024,True,2024-01-16 13:30:55,2024-01-16 13:30:55,electronics
6eeee948-7a29-4b67-8af0-5c8d8a65ccf9,Jabra Elite 7 Pro,True wireless earbuds with noise cancellation,1599.0,85,EL-10025,True,2024-01-17 09:40:15,2024-01-17 09:40:15,electronics
41cb9eae-267e-4345-925c-c1607c0faed4,ASUS ROG Gaming Monitor,"27"" 165Hz gaming monitor with 1ms response",2999.0,30,EL-10026,True,2024-01-17 11:25:30,2024-01-17 11:25:30,electronics
7597e7f1-d238-4933-81bd-4b87f54db671,Garmin Fenix 7,Premium multisport GPS watch,5999.0,40,EL-10027,True,2024-01-18 15:10:45,2024-01-18 15:10:45,electronics
188b0680-fcc7-4634-892e-3eb2d9aceaeb,Tefal OptiGrill+,Smart electric grill with automatic sensors,1899.0,55,EL-10028,True,2024-01-18 17:30:00,2024-01-18 17:30:00,electronics
b02a09c7-a431-4264-8911-f772e9576505,Anker PowerCore 26800,High-capacity power bank with 3 USB ports,399.0,120,EL-10029,True,2024-01-19 10:15:25,2024-01-19 10:15:25,electronics
c29e00ed-d724-4265-b768-721ae0550478,Razer BlackWidow V3,Mechanical gaming keyboard with RGB,1099.0,70,EL-10030,True,2024-01-19 13:45:40,2024-01-19 13:45:40,electronics
c0931b37-a629-40ff-82df-a7d3a86c6d28,OnePlus 10 Pro,Flagship smartphone with Hasselblad camera,5999.0,55,EL-10031,True,2024-01-20 09:30:55,2024-01-20 09:30:55,electronics
69abb9fc-ea93-4a59-b6a6-451120e73dd7,"TCL 65"" 4K QLED TV",Quantum dot display with Android TV,6299.0,35,EL-10032,True,2024-01-20 11:15:10,2024-01-20 11:15:10,electronics
6066611f-35b9-4b2c-9375-f6360da23385,SteelSeries Arctis Nova Pro,Premium wireless gaming headset,2299.0,45,EL-10033,True,2024-01-21 14:25:25,2024-01-21 14:25:25,electronics
abf1b469-ef4e-41b6-a419-5f6a87bdd5da,Linksys Mesh WiFi System,Whole home WiFi coverage,1899.0,60,EL-10034,True,2024-01-21 16:40:40,2024-01-21 16:40:40,electronics
90890bd7-30be-4bf2-aaab-33f10476d929,Braun Series 9 Pro,Premium electric shaver with ProLift trimmer,2999.0,50,EL-10035,True,2024-01-22 10:20:55,2024-01-22 10:20:55,electronics
bd7d280f-42dc-4341-9aba-66f8f33d7534,Fujifilm X-T4,Mirrorless camera with IBIS and 26MP sensor,13999.0,25,EL-10036,True,2024-01-22 13:15:10,2024-01-22 13:15:10,electronics
912e4302-6fb0-442f-ad7f-8c988da50f16,WD My Passport 4TB,Portable external hard drive,899.0,80,EL-10037,True,2024-01-23 09:35:25,2024-01-23 09:35:25,electronics
5381d64f-e205-4558-996f-dbd8facbc000,Keychron K2 Keyboard,Wireless mechanical keyboard with Mac/Win compatibility,799.0,75,EL-10038,False,2024-01-23 11:50:40,2024-01-23 11:50:40,electronics
bb7e5448-2602-43f1-a045-625b9e8c9c11,Oppo Find X5 Pro,Premium smartphone with Hasselblad tuning,6999.0,40,EL-10039,True,2024-01-24 14:30:55,2024-01-24 14:30:55,electronics
